ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Units Available,Price,Price (English),Flooring Type,Covered Area,Project Name,sqft Price ,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Type of Property,City,bedroom,floors,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Property,isLuxuryServiceProvided,Property Lifespan,balconies,NRI Pref,Land Area / Covered Area,Land Area Unit
8050,Ready to Move,NA,12,Y,NA,NA,1250000,12.5 Lac,NA,700,NA,1786,NA,Bhayandarpada,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,2,21,F,NA,N,2 BHK Flat,0,NA,NA,NA,NA,NA
8049,Ready to Move,NA,Ground,N,NA,NA,750000,7.5 Lac,NA,415,NA,1807,NA,Thane West,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Residential House,Thane,1,1,F,NA,N,NA,0,NA,NA,NA,NA,NA
8048,Ready to Move,NA,3,Y,NA,NA,4150000,41.5 Lac,NA,550,NA,7545,NA,Panch Pakhdi,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,5,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
8047,Ready to Move,NA,1,N,NA,NA,3000000,30 Lac,NA,670,NA,4478,620,Thane West,East Facing Property,Sq-ft,Freehold,Semi-Furnished,1,NA,East,Main Road,Resale,Apartment,Thane,1,4,F,Sq-ft,Y,1 BHK Flat,0,Above 20 years,NA,NA,NA,NA
8046,Ready to Move,NA,2,N,NA,NA,4000000,40 Lac,NA,700,Runwal Mycity Phase 2,5714,576,Manpada,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,2,28,F,Sq-ft,Y,2 BHK Flat,0,New Construction,2,NA,NA,NA
8045,Ready to Move,NA,4,N,NA,NA,8500000,85 Lac,NA,850,NA,10000,NA,Panch Pakhdi,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,2,7,F,NA,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8044,Ready to Move,NA,4,N,NA,NA,1800000,18 Lac,NA,450, Omkar Apartment,4000,NA,Thane West,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,5,F,NA,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
8043,Ready to Move,NA,1,N,NA,NA,4000000,40 Lac,NA,380,Shree Thane Darshan,10526,350,Panch Pakhdi,East Facing Property,Sq-ft,NA,Semi-Furnished,1,NA,East,NA,Resale,Apartment,Thane,1,6,F,Sq-ft,Y,1 BHK Flat,0,15 to 20 years,NA,NA,NA,NA
8042,Ready to Move,NA,Ground,Y,NA,NA,3500000,35 Lac,Ceramic Tiles,816,Maansarovar,4289,NA,Panch Pakhdi,NA,Sq-ft,Freehold,Semi-Furnished,2,NA,North,"Garden/Park, Main Road",Resale,Apartment,Thane,2,5,F,NA,Y,2 BHK Flat,0,Above 20 years,NA,NA,NA,NA
8041,Ready to Move,NA,5,Y,Ashwin Sheth Group,NA,15000000,1.50 Cr,NA,1290,Sheth Avalon,11628,769,Thane West,East Facing Property,Sq-ft,Freehold,Unfurnished,2,NA,East,Main Road,New Property,Apartment,Thane,2,33,F,Sq-ft,Y,2 BHK Flat,0,Less than 5 years,2,NA,NA,NA
